country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
#country+name,,,,,
POL,28419.5777395638,105.358512878418,8.06380177,0.2,36435861.0
PRE,1470.05803145865,98.3118515014648,4.47173885631823,,1133132223.0
PRI,40620.1526923687,87.9278775085621,,,3184835.0
PRK,,92.0648422241211,,,26571036.0
PRT,32081.8106150292,110.98851776123,10.24061108,0.4,10804871.0
PRY,7026.61906146401,89.4386417386793,8.35731316,2.1,7013078.0
PSE,3171.10844621579,91.4422361153306,10.73343945,2.1,5413596.0
PSS,4719.69017777464,97.7588119506836,5.68493260774445,,2755649.0
PST,59490.0240628251,99.3445510864258,13.2802047482968,,1132621782.0
PYF,22439.8838746025,108.143379211426,,,282465.0
QAT,72524.9066385222,97.5567016601562,2.52358818,0.0,2972215.0
ROU,22537.9532108047,84.946662902832,5.70901489,0.7,19020271.0
RUS,17546.609375,97.7462041476013,7.04438496,0.1,143513328.0
RWA,1123.73874633225,149.572183149389,5.12708998,38.6,14569341.0
SAS,2705.28227429085,119.026802062988,3.25977663546509,3.8,1692252900.0
SAU,34536.6555456551,103.984471859469,5.68722248,,36973555.0
SDN,1164.53991699219,72.3981094360352,2.85165739,10.1,51662147.0
SEN,1954.71174194867,85.3279669566335,4.32314825,17.9,18931966.0
SGP,98813.9788172877,100.245139192048,4.49163246,,6111175.0
SLB,2086.18955928928,81.8445759596103,5.36366177,40.3,838645.0
SLE,846.296172499617,162.123997594776,4.71883011,41.5,8819794.0
SLV,5766.72574029107,89.8804082588561,9.28738594,4.6,6365503.0
SMR,59871.3288101478,93.5309973045822,6.60829115,,34109.0
SOM,661.173877723116,20.9155502319336,3.74413586,,19654739.0
SRB,15262.0464193413,95.9914169311523,8.03133774,1.1,6549143.0
SSA,1671.41989803328,97.1018218994141,4.92011962789577,,1321531487.0
SSD,1080.14718624765,98.4412384033203,11.61002254,76.5,12188788.0
SSF,1673.07077574497,97.1016311645508,4.91966846383616,45.1,1321654217.0
SST,16577.8450757077,100.858131408691,6.76764056350088,,20347135.0
STP,4084.40062145233,110.377998352051,5.77292156,13.0,240254.0
SUR,7069.87230892274,91.9199272065514,5.40666008,2.2,639850.0
SVK,28543.6653439813,102.752586364746,7.35262203,0.5,5413813.0
SVN,37376.2216079138,100.884101867676,9.87630939,0.0,2130986.0
SWE,63133.2126736715,114.869583129883,11.21510124,0.8,10596620.0
SWZ,4108.25221093363,116.527002594136,7.49763966,44.5,1256174.0
SXM,42978.1317407037,135.070755004883,,,43923.0
SYC,19449.3836346926,93.3800582885742,4.48238087,0.7,122730.0
SYR,1056.78264718197,81.4114685058594,2.70998812,18.0,25620427.0
TCA,37506.7798431288,125.059584610146,,,46855.0
TCD,1022.33559390754,88.464521953345,4.99707747,39.5,21003705.0
TEA,10965.8265646099,100.048690795898,5.60852809056887,,2117367063.0
TEC,15300.0702229683,97.0421981811523,6.21532365654935,,462559433.0
TGO,1383.89974929887,114.272773524266,6.10829544,34.7,8591626.0
THA,8056.56359761558,100.728168483387,4.53787661,0.0,71619863.0
TJK,1637.2542942547,95.7571411611065,7.43789911,6.1,10786734.0
TKM,6540.17876401136,95.6921775462619,5.49789095,35.1,7618847.0
TLA,10822.5929247606,104.723831176758,7.94735280706801,,651467364.0
TLS,1340.9640193437,119.652693100113,9.59779453,44.0,1418517.0
TMN,2826.65540584536,,5.15422758089718,,748489811.0
TON,6547.18646814228,108.789986091794,7.36037779,0.4,103742.0
TSA,2705.28227429085,119.026802062988,3.25977663546509,,1692252900.0
TSS,1673.07077574497,97.1016311645508,4.91966846383615,,1321654217.0
TTO,18967.2704636681,98.262990670178,7.52568626,3.2,1367764.0
TUN,4656.63818386852,104.424217224121,7.98537874,0.7,12348573.0
TUR,18599.4420922378,102.43807220459,4.27524424,0.2,85878556.0
TUV,6344.7750188689,101.138952164009,27.08968544,9.0,9492.0
TZA,1318.81921386719,92.6902654262381,3.05201221,51.3,70545865.0
UGA,1206.30450825002,106.169578552246,4.23600149,59.8,51384894.0
UKR,5865.884765625,93.3063201904297,8.2027483,0.0,38980376.0
