country,NY.GDP.PCAP.CD,SE.PRM.ENRR,SH.XPD.CHEX.GD.ZS,SI.POV.DDAY,SP.POP.TOTL
ECA,9793.69205809432,96.6787490844727,4.91799832221858,,250281521.0
ECS,31555.5207890657,99.9414596557617,9.57967621183291,0.5,928263208.0
ECU,6874.705739766,97.2490097236115,7.56167889,7.3,18135478.0
EGY,3338.47371395895,96.7073863024522,4.88449335,1.4,116538258.0
EMU,46945.4188234427,102.890296936035,10.7750014368516,,351161936.0
ERI,688.68165957684,89.7312469482422,3.6837678,,3535603.0
ESP,35326.7683069278,103.002769470215,9.2206583,0.8,48848840.0
EST,31428.3547816104,98.3381576538086,7.83648062,0.3,1372341.0
ETH,1133.88279681719,84.4160102082984,2.80310345,38.6,132059767.0
EUU,43304.9642561331,102.439392089844,10.5426441605532,,450228188.0
FCS,1527.95809514037,94.2756881713867,4.62825554969788,41.7,1081767572.0
FIN,53149.7671934051,99.1151733398438,10.47389507,0.2,5619911.0
FJI,6425.74151715712,110.377230542693,3.61524153,4.7,928784.0
FRA,46103.0840855884,103.265121459961,11.53530598,0.1,68551653.0
FRO,74119.6607553879,,,,54681.0
FSM,4166.00476748564,82.1598198983817,12.88087559,26.1,113160.0
GAB,8230.04311451151,100.171603677222,3.13430715,3.8,2538952.0
GBR,53246.3676145108,102.555801391602,11.133358,0.5,69226000.0
GEO,9241.49122313713,99.3560206839885,6.85758877,4.2,3699557.0
GHA,2390.77237652715,98.2318953247047,2.94686937,39.0,34427414.0
GIB,,101.773180642778,,,39329.0
GIN,1694.95375862193,100.474517822266,3.69442987,11.7,14754785.0
GMB,871.340291776294,100.429016187878,2.89250112,22.0,2759988.0
GNB,1007.74151728028,113.436782836914,8.82204819,39.9,2201352.0
GNQ,6745.40013244916,47.5486488342285,3.49941635,8.8,1892516.0
GRC,24626.1481858973,102.020217895508,8.39367008,0.6,10405134.0
GRD,11705.0902976658,110.590518436374,4.65330839,0.8,117207.0
GRL,58498.9707973609,,,,56836.0
GTM,6150.02571438505,101.488831252809,6.80241346,9.7,18406359.0
GUM,41833.1517132825,77.9228591918945,,,167777.0
GUY,29675.2443873316,97.5535955044616,2.46673751,13.0,831087.0
HIC,50302.6052129513,99.8059997558594,12.5106477921545,0.5,1417841927.0
HKG,54074.6928519479,103.152955896153,,,7524100.0
HND,3426.43483328923,78.9690848390083,7.70976162,15.7,10825703.0
HPC,1216.37508472564,100.075187683105,4.45224963821874,,941413026.0
HRV,24050.4397933135,101.157791137695,7.14699411,0.3,3866200.0
HTI,2142.62330526788,183.989440244666,3.19156528,40.4,11772557.0
HUN,23292.3263882478,103.570762634277,6.36868954,0.9,9562065.0
IBD,8219.91265703844,105.780838012695,5.90103805508611,,4979421568.0
IBT,6327.14399704869,102.438049316406,5.7613921756499,,6926222113.0
IDA,1485.92227405633,97.2686233520508,3.85898227313686,35.0,1946800545.0
IDB,1650.63788113049,91.0903167724609,3.88260848205314,,676957651.0
IDN,4925.43048751861,100.371428697375,2.70239949,5.4,283487931.0
IDX,1398.11181264033,100.371231079102,3.84013487533663,,1269842894.0
IMN,88328.548125887,,,,84160.0
IND,2694.73780859961,120.520368565055,3.33944035,5.3,1450935791.0
IRL,112894.953240805,99.6199417114258,6.85410833,0.1,5395790.0
IRN,5190.16959024821,104.680130004883,6.02542305,2.5,91567738.0
IRQ,6073.61032342708,104.57022857666,5.53275251,0.5,46042015.0
ISL,86040.5309851288,98.2218322753906,8.98358727,0.1,386506.0
ISR,54176.6844383302,96.4853820800781,7.09822369,0.7,9974400.0
ITA,40385.3413957669,103.566017150879,8.44437313,0.9,58952704.0
JAM,7753.8006955432,87.7375451717876,7.60493946,1.4,2839175.0
JOR,4618.09592498567,98.5516247069238,7.66000605,0.1,11552876.0
JPN,32487.0778047567,102.496421813965,10.73979473,1.2,123975371.0
KAZ,14154.6324958076,97.332988440748,3.76701546,0.0,20592571.0
KEN,2132.43452097647,98.2483475806861,4.35172892,46.9,56432944.0
KGZ,2420.18542283831,98.9535427608138,4.50344467,2.7,7221868.0
KHM,2627.87969756224,108.971332849667,4.61706829,,17638801.0
KIR,2288.63471423684,95.2685003274394,10.94525623,6.1,134518.0
KNA,23960.6534357084,121.118748518606,5.73595428,,46843.0
KOR,36238.639908315,100.301467895508,8.67656994,0.2,51751065.0
KWT,32717.7186631255,82.3634126791806,4.96311998,,4897263.0
LAC,10382.3911125152,104.340461730957,7.90987626464166,,594158638.0
LAO,2123.97909415109,93.1435250140429,1.32651615,15.7,7769819.0
LBN,3477.72489842684,81.7691124093498,5.57497263,5.9,5805962.0
LBR,851.497723870206,66.5939255094706,13.00574875,33.6,5612817.0
LBY,6569.16408678648,106.998237609863,7.80515862,,7381023.0
LCA,14181.6303351598,96.7822958387075,4.7298274,0.1,179744.0
LCN,10737.6463538652,104.589141845703,7.94219123716982,4.5,662186388.0
LDC,1293.40100322932,100.6826171875,3.60542517790876,,1187777591.0
LIC,751.322764042233,97.5728912353516,5.27632413209386,56.3,624608098.0
LIE,206780.590353385,102.110137939453,5.71460724,,40450.0
LKA,4515.56787322732,91.4511421235026,3.68313766,2.7,21916000.0
LMC,2544.49245457752,105.352798461914,3.84847192312848,12.0,3120980912.0
